"","Continent","Ecosystem_type","Site_name","Site","Sample","Country","Location","Latitude","Longitude","Elevation","pH","C_Pct","C_Total","N_Pct","N_Total","CN","Moisture","Temperature"
"BioCON",100,100,100,100,100,100,100,100,100,0,100,100,0,100,0,100,100,100
"CiPEHR",100,100,100,100,100,100,100,100,100,0,0,98,0,98,0,98,0,62
"FNV_Pasture",100,100,100,100,100,100,100,100,100,50,100,100,0,100,0,100,0,0
"HAMERS_Elev",100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,100
"HAMERS_Trsplt",100,100,100,100,100,100,100,100,100,100,80,100,0,0,100,0,100,100
"JRGCE",100,100,100,100,100,100,100,100,100,0,100,100,0,100,0,100,100,100
"KAEFS",100,100,100,100,100,100,100,100,100,0,100,100,0,100,0,100,100,100
"SNNRf",100,100,100,100,100,100,100,91,84,100,100,0,100,0,100,100,100,100
"SNNRs",100,100,100,100,100,100,100,100,100,100,100,0,100,0,100,100,100,100
"Thaw_Gradient",100,100,100,100,100,100,100,100,100,0,81,100,100,100,100,100,0,0
"Total",100,100,100,100,100,100,100,100,99,27,82,81,22,74,29,83,70,82
